question_id,category,question,model_answer,keywords
26,Technical,What is the difference between an array and a linked list?,An array stores elements in contiguous memory locations allowing fast random access while a linked list stores elements as nodes connected through pointers which allows easier insertion and deletion but slower access time.,array;linked list;contiguous memory;pointers;insertion
27,Technical,What is version control and why is Git important?,Version control is a system that tracks changes to files over time allowing multiple people to collaborate without overwriting each others work. Git is important because it allows branching merging and maintaining a complete history of changes in a project.,version control;Git;track changes;branching;collaborate
28,Technical,What is an API and why is it useful?,An API or application programming interface is a set of rules that allows different software applications to communicate with each other. It is useful because it allows developers to reuse existing functionality without needing to understand the internal implementation.,API;communicate;rules;reuse;implementation
29,Technical,What is the difference between deep learning and machine learning?,Machine learning is a broader field that includes various algorithms that learn patterns from data while deep learning is a subset of machine learning that uses neural networks with multiple layers to automatically learn complex features from large amounts of data.,machine learning;deep learning;neural networks;layers;features
30,Technical,Explain what TF-IDF means in natural language processing.,TF-IDF stands for term frequency inverse document frequency and it is a statistical measure used to evaluate how important a word is to a document within a collection of documents by balancing how often a word appears against how common it is across all documents.,TF-IDF;term frequency;inverse document frequency;important;documents
31,Technical,What is cosine similarity used for?,Cosine similarity is a metric used to measure how similar two vectors are by calculating the cosine of the angle between them regardless of their magnitude and it is commonly used to compare text documents represented as vectors.,cosine similarity;vectors;angle;magnitude;compare
32,Technical,What is the purpose of stop word removal in text preprocessing?,Stop word removal eliminates common words such as the is and at that carry little meaningful information so that the analysis can focus on the words that are more important for understanding the content of the text.,stop word;common words;meaningful;analysis;preprocessing
33,Technical,What is stemming and lemmatization in NLP?,Stemming reduces a word to its root form by chopping off suffixes often producing a form that may not be a real word while lemmatization reduces a word to its proper base dictionary form using vocabulary and grammar rules making it more accurate but slower.,stemming;lemmatization;root form;suffixes;dictionary form
34,Technical,What is a confusion matrix used for?,A confusion matrix is a table used to evaluate the performance of a classification model by showing the counts of true positives true negatives false positives and false negatives allowing calculation of metrics like precision recall and accuracy.,confusion matrix;true positives;false positives;precision;recall
35,Technical,What is the difference between precision and recall?,Precision measures how many of the predicted positive results were actually correct while recall measures how many of the actual positive cases were correctly identified by the model. There is often a trade off between the two.,precision;recall;predicted;actual;trade off
36,Behavioral,Describe a situation where you had to learn something new quickly.,During a college project I had to learn a new web framework within a week to meet the deadline. I focused on the official documentation and built small practice examples which helped me understand the core concepts quickly and apply them to the project.,learn;quickly;documentation;practice;concepts
37,Behavioral,Tell me about a time you worked in a team to complete a project.,I worked with three teammates on a data analysis project where we divided the work based on individual strengths. I handled the data cleaning and visualization part and we had regular check ins to make sure everyone stayed aligned.,team;project;divided work;strengths;check ins
38,Behavioral,Describe a challenging problem you solved recently.,I encountered a bug in my code where the program was crashing intermittently. I solved it by carefully reviewing the logs adding debug statements and eventually identifying that it was caused by an unhandled edge case in the input data.,challenging problem;bug;logs;debug;edge case
39,Behavioral,Tell me about a time you had to meet a tight deadline.,I once had to complete an assignment within two days due to unexpected changes in requirements. I created a clear plan broke the work into smaller tasks and focused only on the essential features to deliver on time.,tight deadline;plan;tasks;essential;deliver
40,Behavioral,Describe a time you received constructive criticism.,A mentor once pointed out that my code lacked proper comments and documentation. I took the feedback positively and made it a habit to write clear comments and documentation for all my future projects.,constructive criticism;feedback;comments;documentation;habit
41,Behavioral,Tell me about a time you took initiative on a project.,During an internship I noticed that a manual data entry process was time consuming so I took the initiative to write a small script that automated the task and reduced the time significantly.,initiative;manual;automated;script;reduced
42,Behavioral,Describe a situation where you disagreed with your team lead or manager.,I once disagreed with a proposed technical approach and I respectfully shared my concerns along with an alternative solution supported by reasoning. We discussed it together and reached a decision that combined the best parts of both approaches.,disagreed;concerns;alternative;discussed;decision
43,Behavioral,Tell me about a goal you set for yourself and how you achieved it.,I set a goal to improve my problem solving skills by solving coding problems consistently. I dedicated time daily practiced on online platforms and tracked my progress which helped me improve significantly over a few months.,goal;consistently;practiced;progress;improve
44,Behavioral,Describe a time when you had to explain a technical concept to a non technical person.,I once explained how a database works to a non technical friend by comparing it to a organized filing cabinet where information is stored in labeled folders making it easy to find what you need quickly.,explain;technical concept;non technical;comparison;simple
45,Behavioral,Tell me about a time you failed at something.,I once failed to complete a project on time because I did not plan properly at the start. I learned from this experience the importance of creating a clear plan and setting smaller milestones before starting any project.,failed;plan;milestones;learned;experience
46,Domain,What is a variable in programming?,A variable is a named storage location in memory used to hold a value that can be changed during the execution of a program. It has a name a data type and a value associated with it.,variable;storage;memory;value;data type
47,Domain,What is recursion in programming?,Recursion is a technique where a function calls itself in order to solve a problem by breaking it down into smaller subproblems of the same type until a base case is reached that stops the recursive calls.,recursion;function;calls itself;subproblems;base case
48,Domain,What is the difference between compiler and interpreter?,A compiler translates the entire source code into machine code before execution producing an executable file while an interpreter translates and executes the code line by line without producing a separate executable file.,compiler;interpreter;machine code;execution;line by line
49,Domain,What is exception handling and why is it important?,Exception handling is a mechanism used to handle runtime errors gracefully using constructs like try and catch blocks so that the program does not crash unexpectedly and can respond appropriately to unexpected situations.,exception handling;runtime errors;try catch;crash;gracefully
50,Domain,What is the difference between a class and an object?,A class is a blueprint or template that defines the properties and behaviors that objects of that type will have while an object is a specific instance created from that class with actual values assigned to its properties.,class;object;blueprint;instance;properties
